ROI_id,start_idx,end_idx,start_window,end_window,duration,mean_range,mean_valence,mean_arousal,mean_dominance,sample_sentences
1,3,5,4,6,3,0.14026189077654877,-0.3481235015895461,-0.3302715768739259,-0.4605771884644703,"“What’s happened to me?” he thought. || It wasn’t a dream. || His room, a proper human room although a little too small, lay peacefully between its four familiar walls."
2,12,14,13,15,3,0.13125390638308423,-0.10018221096098912,-0.11863895756820236,-0.2057276867115713,"He must have tried it a hundred times, shut his eyes so that he wouldn’t have to look at the floundering legs, and only stopped when he began to feel a mild, dull pain there that he had never felt before. || “Oh, God”, he thought, “what a strenuous career it is that I’ve chosen! || Travelling day in and day out."
3,29,31,30,32,3,0.11069343120291479,-0.08029888293994399,-0.10381236042385983,-0.0408050268989952,"That’s when I’ll make the big change. || First of all though, I’ve got to get up, my train leaves at five.” || And he looked over at the alarm clock, ticking on the chest of drawers."
4,43,54,44,55,12,0.07390291666050426,-0.08502702743583883,-0.06415521809478016,-0.0964049532726578,"But that would be extremely strained and suspicious as in five years of service Gregor had never once yet been ill. || There was a cautious knock at the door near his head. || but then there was a sort of echo which made them unclear, leaving the hearer unsure whether he had heard properly or not."
5,59,72,60,73,14,0.08698670455059207,-0.0872069185387959,-0.07909646847773266,-0.13526276027765224,"And after a short while he called again with a warning deepness in his voice: “Gregor! Gregor!” || Gregor, however, had no thought of opening the door, and instead congratulated himself for his cautious habit, acquired from his travelling, of locking all doors at night even when he was at home. || He would have used his arms and his hands to push himself up; but instead of them he only had all those little legs continuously moving in different directions, and which he was moreover unable to control."
6,76,77,77,78,2,0.10451932941100839,-0.11566301745683025,-0.0720511887444161,-0.15330249374112925,"So then he tried to get the top part of his body out of the bed first, carefully turning his head to the side. || So then he tried to get the top part of his body out of the bed first, carefully turning his head to the side. || This he managed quite easily, and despite its breadth and its weight, the bulk of his body eventually followed slowly in the direction of the head."
7,103,108,104,109,6,0.07658145984261605,-0.09081527964980429,-0.06041565596881904,-0.0687681301083365,"But then of course, the maid’s firm steps went to the door as ever and opened it. || Why did Gregor have to be the only one condemned to work for a company where they immediately became highly suspicious at the slightest shortcoming? || And more because these thoughts had made him upset than through any proper decision, he swang himself with all his force out of the bed."
8,114,118,115,119,5,0.10879552361694397,-0.09533810483918187,-0.12681009219170683,-0.03096311210894236,"But as if in gruff reply to this question, the chief clerk’s firm footsteps in his highly polished boots could now be heard in the adjoining room. || “Yes, I know”, said Gregor to himself; but without daring to raise his voice loud enough for his sister to hear him. || We don’t know what to say to him."
9,155,158,156,159,4,0.106933708647269,-0.290969453385837,-0.3531085222164243,-0.27107386738329486,"But now that I see your incomprehensible stubbornness I no longer feel any wish whatsoever to intercede on your behalf. || And nor is your position all that secure. || Your turnover has been very unsatisfactory of late; I grant you that it’s not the time of year to do especially good business, we recognise that; but there simply is no time of year to do no business at all, Mr. Samsa, we cannot allow there to be.”"
10,176,178,177,179,3,0.09182177535853327,-0.12451471735335384,-0.09837571700201182,-0.1636417617271784,"And while Gregor gushed out these words, hardly knowing what he was saying, he made his way over to the chest of drawers—this was easily done, probably because of the practise he had already had in bed—where he now tried to get himself upright. || He really did want to open the door, really did want to let them see him and to speak with the chief clerk; the others were being so insistent, and he was curious to learn what they would say when they caught sight of him. || If they were shocked then it would no longer be Gregor’s responsibility and he could rest."
11,185,187,186,188,3,0.11079200699911484,-0.15324624278316049,-0.12073655395082501,-0.21448995483661604,"the chief clerk asked his parents, “surely he’s not trying to make fools of us”. || “Oh, God!” called his mother, who was already in tears, “he could be seriously ill and we’re making him suffer. || “Mother?” his sister called from the other side."
12,195,196,196,197,2,0.1223838820550532,0.033394430302011203,0.0757519767850131,-0.0457006406404946,How had his sister managed to get dressed so quickly? || How had his sister managed to get dressed so quickly? || There was no sound of the door banging shut again; they must have left it open; people often do in homes where something awful has happened.
13,205,215,206,216,11,0.10740358444851329,-0.06086743630131322,-0.06387791404431163,0.0120330774954182,"Gregor slowly pushed his way over to the door with the chair. || Gregor was greatly encouraged by this; but they all should have been calling to him, his father and his mother too: “Well done, Gregor”, they should have cried, “keep at it, keep hold of the lock!” || Because he had to open the door in this way, it was already wide open before he could be seen."
14,219,223,220,224,5,0.08451135531567053,-0.13766413261591928,-0.07759199826781674,-0.11416231196796142,"Gregor’s mother, her hair still dishevelled from bed despite the chief clerk’s being there, looked at his father. || His father looked hostile, and clenched his fists as if wanting to knock Gregor back into his room. || So Gregor did not go into the room, but leant against the inside of the other door which was still held bolted in place."
15,231,233,232,234,3,0.11491943710972936,-0.09572763958680057,-0.09325856153460481,-0.16837225089792654,"You can see”, he said to the chief clerk, “that I’m not stubborn and I like to do my job; being a commercial traveller is arduous but without travelling I couldn’t earn my living. || So where are you going, in to the office? || Will you report everything accurately, then?"
16,248,253,249,254,6,0.08867085502412105,0.08430907425753792,0.0956143681874303,0.050408464487244835,"In the hall, he stretched his right hand far out towards the stairway as if out there, there were some supernatural force waiting to save him. || That was something his parents did not understand very well; over the years, they had become convinced that this job would provide for Gregor for his entire life, and besides, they had so much to worry about at present that they had lost sight of any thought for the future. || If only his sister were here!"
17,261,262,262,263,2,0.13175226034564125,-0.0432731846765155,0.01116217152635975,-0.1205900888192815,"The way she held her head suggested she wanted to see Gregor better, but the unthinking way she was hurrying backwards showed that she did not; she had forgotten that the table was behind her with all the breakfast things on it; when she reached the table she sat quickly down on it without knowing what she was doing; without even seeming to notice that the coffee pot had been knocked over and a gush of coffee was pouring down onto the carpet. || The way she held her head suggested she wanted to see Gregor better, but the unthinking way she was hurrying backwards showed that she did not; she had forgotten that the table was behind her with all the breakfast things on it; when she reached the table she sat quickly down on it without knowing what she was doing; without even seeming to notice that the coffee pot had been knocked over and a gush of coffee was pouring down onto the carpet. || “Mother, mother”, said Gregor gently, looking up at her."
18,305,306,306,307,2,0.12957091533845783,-0.08748325585554526,-0.2092760934617104,-0.07970517812325259,"But what now, if all this peace and wealth and comfort should come to a horrible and frightening end? || But what now, if all this peace and wealth and comfort should come to a horrible and frightening end? || That was something that Gregor did not want to think about too much, so he started to move about, crawling up and down the room."
19,310,314,311,315,5,0.12797624804169191,-0.15290170584731447,-0.18450178981177828,-0.27932991443865873,"It was not until late at night that the gaslight in the living room was put out, and now it was easy to see that his parents and sister had stayed awake all that time, as they all could be distinctly heard as they went away together on tip-toe. || For some reason, the tall, empty room where he was forced to remain made him feel uneasy as he lay there flat on the floor, even though he had been living in it for five years. || It pressed down on his back a little, and he was no longer able to lift his head, but he nonetheless felt immediately at ease and his only regret was that his body was too broad to get it all underneath."
20,359,365,360,366,7,0.11402448746962977,0.10022911681805553,0.07854917535537982,0.18604370999286188,"Even before the first day had come to an end, his father had explained to Gregor’s mother and sister what their finances and prospects were. || What he heard his father say was some of the first good news that Gregor heard since he had first been incarcerated in his room. || So then he started working especially hard, with a fiery vigour that raised him from a junior salesman to a travelling representative almost overnight, bringing with it the chance to earn money in quite different ways."
21,396,405,397,406,10,0.07773729375532713,-0.03164584429742169,-0.0718940522572873,-0.09946347043677992,"His sister, naturally, tried as far as possible to pretend there was nothing burdensome about it, and the longer it went on, of course, the better she was able to do so, but as time went by Gregor was also able to see through it all so much better. || She would alarm Gregor twice a day with this running about and noise making; he would stay under the couch shivering the whole while, knowing full well that she would certainly have liked to spare him this ordeal, but it was impossible for her to be in the same room with him with the windows closed. || One day, in order to spare her even this sight, he spent four hours carrying the bedsheet over to the couch on his back and arranged it so that he was completely covered and his sister would not be able to see him even if she bent down."
22,442,449,443,450,8,0.09368079572358146,0.007385426952469125,-0.046752581102654185,-0.052483112719786076,"Girls of that age, though, do become enthusiastic about things and feel they must get their way whenever they can. || So she refused to let her mother dissuade her. || He meant to be as careful and considerate as he could, but, unfortunately, it was his mother who came back first while Grete in the next room had her arms round the chest, pushing and pulling at it from side to side by herself without, of course, moving it an inch."
23,458,460,459,461,3,0.13838888665725382,0.092144963193805,0.0535970122706744,-0.0389057456013275,"So, while the women were leant against the desk in the other room catching their breath, he sallied out, changed direction four times not knowing what he should save first before his attention was suddenly caught by the picture on the wall—which was already denuded of everything else that had been on it—of the lady dressed in copious fur. || He hurried up onto the picture and pressed himself against its glass, it held him firmly and felt good on his hot belly. || This picture at least, now totally covered by Gregor, would certainly be taken away by no-one."
24,467,470,468,471,4,0.09921221037963901,0.06357665453585597,0.07875025310935904,0.1084949094981755,"Well, she could certainly try it! || He sat unyielding on his picture. || But Grete’s words had made her mother quite worried, she stepped to one side, saw the enormous brown patch against the flowers of the wallpaper, and before she even realised it was Gregor that she saw screamed: “Oh God, oh God!”"
25,478,497,479,498,20,0.10614581358830188,0.008261703804003396,-0.027508965536650838,0.013037799329299767,"The maid, of course, had locked herself in her kitchen so that Grete would have to go and answer it. || His father, though, was not in the mood to notice subtleties like that; “Ah!”, he shouted as he came in, sounding as if he were both angry and glad at the same time. || And so he ran up to his father, stopped when his father stopped, scurried forwards again when he moved, even slightly."
26,508,511,509,512,4,0.06442257294398676,-0.054372899639597606,-0.06499292091754111,-0.06952046482005025,"The last thing he saw was the door of his room being pulled open, his sister was screaming, his mother ran out in front of her in her blouse (as his sister had taken off some of her clothes after she had fainted to make it easier for her to breathe), she ran to his father, her skirts unfastened and sliding one after another to the ground, stumbling over the skirts she pushed herself to his father, her arms around him, uniting herself with him totally—now Gregor lost his ability to see anything—her hands behind his father’s head begging him to spare Gregor’s life. || III   No-one dared to remove the apple lodged in Gregor’s flesh, so it remained there as a visible reminder of his injury. || On the contrary, as a family there was a duty to swallow any revulsion for him and to be patient, just to be patient."
27,525,557,526,558,33,0.07690361790407252,-0.05010774633102447,-0.10387706000399843,-0.09240371662724439,"Gregor’s mother would tug at his sleeve, whisper endearments into his ear, Gregor’s sister would leave her work to help her mother, but nothing would have any effect on him. || Gregor’s sister no longer thought about how she could please him but would hurriedly push some food or other into his room with her foot before she rushed out to work in the morning and at midday, and in the evening she would sweep it away again with the broom, indifferent as to whether it had been eaten or—more often than not—had been left totally untouched. || At first she would call to him as she did so with words that she probably considered friendly, such as “come on then, you old dung-beetle!”, or “look at the old dung-beetle there!”"
28,623,625,624,626,3,0.1288406728653484,0.0892501192756406,0.1049034497516424,0.0033804531915198,"The violin went silent, the middle of the three gentlemen first smiled at his two friends, shaking his head, and then looked back at Gregor. || His father seemed to think it more important to calm the three gentlemen before driving Gregor out, even though they were not at all upset and seemed to think Gregor was more entertaining than the violin playing had been. || He rushed up to them with his arms spread out and attempted to drive them back into their room at the same time as trying to block their view of Gregor with his body."
29,635,646,636,647,12,0.09609217686806654,-0.18242090818633036,-0.22944531356073228,-0.1501916528465178,"He was silent and looked straight ahead as if waiting for something. || Throughout all this, Gregor had lain still where the three gentlemen had first seen him. || I don’t want to call this monster my brother, all I can say is: we have to try and get rid of it."
30,651,653,652,654,3,0.11611419772613239,-0.07696368617266464,-0.10442146091781997,-0.01947000530642037,"Her words seemed to give Gregor’s father some more definite ideas. || He sat upright, played with his uniform cap between the plates left by the three gentlemen after their meal, and occasionally looked down at Gregor as he lay there immobile. || “We have to try and get rid of it”, said Gregor’s sister, now speaking only to her father, as her mother was too occupied with coughing to listen, “it’ll be the death of both of you, I can see it coming."
31,659,661,660,662,3,0.10723500130309273,-0.13003919038617376,-0.14030934179621088,-0.06353427249143746,"“If he could just understand us”, said his father almost as a question; his sister shook her hand vigorously through her tears as a sign that of that there was no question. || “If he could just understand us”, repeated Gregor’s father, closing his eyes in acceptance of his sister’s certainty that that was quite impossible, “then perhaps we could come to some kind of arrangement with him. || But as it is ...”  “It’s got to go”, shouted his sister, “that’s the only way, Father."
32,699,708,700,709,10,0.08993500325817722,-0.0658402413646151,-0.06806162546378666,-0.1253916241337559,"He watched as it slowly began to get light everywhere outside the window too. || She happened to be holding the long broom in her hand, so she tried to tickle Gregor with it from the doorway. || Mr. Samsa threw the blanket over his shoulders, Mrs. Samsa just came out in her nightdress; and that is how they went into Gregor’s room."
33,731,733,732,734,3,0.11896296632946375,0.15072167195745698,0.05843816523612533,0.031758705627993204,"“What do you mean?”, asked the middle of the three gentlemen somewhat disconcerted, and he smiled sweetly. || The other two held their hands behind their backs and continually rubbed them together in gleeful anticipation of a loud quarrel which could only end in their favour. || “I mean just what I said”, answered Mr. Samsa, and, with his two companions, went in a straight line towards the man."
