Window_ID,Narrative_Progress,Valence_RF_Smooth,Arousal_RF_Smooth,Dominance_RF_Smooth,VAD_range,Convergence,Entrapment,Entr_Index,Episode_ID,Center_Sentence
15,0.0182529335071707,4.946861065707687,4.253273716900896,5.008820867385794,0.7555471504848983,0,1,4.633391704147959,1,Travelling day in and day out.
16,0.0195567144719687,4.8713272965020655,4.2790082379862175,4.975144883948942,0.6961366459627243,0,1,5.602230947299933,1,"Doing business like this takes much more effort than doing your own business at home, and on top of that there’s the curse of travelling, worries about making train connections, bad and irregular food, contact with different people all the time so that you can never get to know anyone or become friendly with them."
17,0.0208604954367666,4.88969865969265,4.31342343903231,5.000506178489641,0.6870827394573311,0,1,5.622560331016732,1,It can all go to Hell!”
18,0.0221642764015645,4.900860281137566,4.335577116704752,5.039996578402466,0.7044194616977135,0,1,5.437586878407542,1,"He felt a slight itch up on his belly; pushed himself slowly up on his back towards the headboard so that he could lift his head better; found where the itch was, and saw that it was covered with lots of little white spots which he didn’t know what to make of; and when he tried to feel the place with one of his legs he drew it quickly back because as soon as he touched it he was overcome by a cold shudder."
19,0.0234680573663624,4.91345498528925,4.361122098725019,5.062544230140507,0.7014221314154874,0,1,5.42603027923355,1,He slid back into his former position.
20,0.0247718383311603,4.93937260542655,4.378892056227471,5.0893964040535495,0.7105043478260784,0,1,5.2255681828273985,1,"“Getting up early all the time”, he thought, “it makes you stupid."
21,0.0260756192959582,4.96129254658379,4.390907714939469,5.121697036068369,0.7307893211289,0,1,4.942461511956099,1,You’ve got to get enough sleep.
22,0.0273794002607561,4.942262373324556,4.406568028767517,5.136722752533444,0.7301547237659269,0,1,5.073290457421228,1,Other travelling salesmen live a life of luxury.
23,0.0286831812255541,4.911205295848256,4.4262338018959895,5.1264335403726085,0.700199738476619,0,1,5.531235949246909,1,"For instance, whenever I go back to the guest house during the morning to copy out the contract, these gentlemen are always still sitting there eating their breakfasts."
24,0.029986962190352,4.901464203988171,4.4279134030728455,5.1486801678107685,0.720766764737923,0,1,5.408267176158316,1,I ought to just try that with my boss; I’d get kicked out on the spot.
25,0.0312907431551499,4.9197053612291,4.412376495586739,5.169897515527888,0.7575210199411488,0,1,4.96740119652965,1,"But who knows, maybe that would be the best thing for me."
29,0.0365058670143415,4.865656815952866,4.297667799934566,5.098561621444853,0.8008938215102868,0,1,4.7448681888609565,2,"Well, there’s still some hope; once I’ve got the money together to pay off my parents’ debt to him—another five or six years I suppose—that’s definitely what I’ll do."
30,0.0378096479791395,4.901476887871794,4.272361403508719,5.06095328538732,0.7885918818786006,0,1,4.621410951234025,2,That’s when I’ll make the big change.
87,0.1121251629726206,4.909910755148681,4.221411441647545,4.971351389342861,0.7499399476953164,0,1,4.847023089156904,3,But then he said to himself: “Before it strikes quarter past seven I’ll definitely have to have got properly out of bed.
88,0.1134289439374185,4.824172703497816,4.208139048708677,4.923868388362148,0.7157293396534712,0,1,5.603824838253898,3,"And by then somebody will have come round from work to ask what’s happened to me as well, as they open up at work before seven o’clock.”"
89,0.1147327249022164,4.845392546583791,4.182527329192496,4.915779078130047,0.7332517489375512,0,1,5.301227452435288,3,And so he set himself to the task of swinging the entire length of his body out of the bed all at the same time.
90,0.1160365058670143,4.85271091860079,4.168736237332411,4.9160782281790825,0.7473419908466719,0,1,5.120533968707523,3,If he succeeded in falling out of bed in this way and kept his head raised as he did so he could probably avoid injuring it.
165,0.2138200782268579,5.034156456358225,4.315049199084616,4.987747466492256,0.7191072572736097,0,1,4.94857644773511,4,It’s not quite as easy as I’d thought.
166,0.2151238591916558,4.927944557044725,4.346729486760325,4.950333638443875,0.60360415168355,0,1,6.179418349558931,4,"I’m quite alright now, though."
167,0.2164276401564537,4.866551977770453,4.353940993788767,4.935068290290884,0.5811272965021166,0,1,6.724807490909899,4,"It’s shocking, what can suddenly happen to a person!"
168,0.2177314211212516,4.828716247139528,4.359028702190205,4.8912581889505775,0.5322294867603725,0,1,7.366951667885324,4,"I was quite alright last night, my parents know about it, perhaps better than me, I had a small symptom of it last night already."
169,0.2190352020860495,4.790417097090494,4.3397811049362005,4.887896992481143,0.5481158875449426,0,1,7.416777626171089,4,They must have noticed it.
170,0.2203389830508474,4.772177312847277,4.339929323308217,4.917791631251983,0.5778623079437661,0,1,7.259076558309252,4,I don’t know why I didn’t let you know at work!
171,0.2216427640156453,4.760131415495201,4.307668126838783,4.925913566524947,0.6182454396861647,0,1,6.933526131102365,4,But you always think you can get over an illness without staying at home.
172,0.2229465449804432,4.768718862373266,4.2737640078456485,4.953429715593271,0.6796657077476222,0,1,6.3082369546796695,4,"Please, don’t make my parents suffer!"
173,0.2242503259452412,4.764979731938484,4.226434793505451,4.961238607387974,0.7348038138825235,0,1,5.789111482563216,4,There’s no basis for any of the accusations you’re making; nobody’s ever said a word to me about any of these things.
174,0.2255541069100391,4.8366783262503485,4.194363517489324,5.017513795357898,0.8231502778685735,0,1,4.581551977436968,4,Maybe you haven’t read the latest contracts I sent in.
647,0.8422425032594524,4.902177672441914,4.24217129780969,4.973004511278134,0.7308332134684443,0,1,5.082490969334922,5,"I don’t want to call this monster my brother, all I can say is: we have to try and get rid of it."
648,0.8435462842242503,4.885302811376207,4.281960150375888,4.95529849624054,0.6733383458646518,0,1,5.726982238606233,5,"We’ve done all that’s humanly possible to look after it and be patient, I don’t think anyone could accuse us of doing anything wrong.”"
649,0.8448500651890483,4.811317129780915,4.3156750572081855,4.906031153971826,0.5903560967636405,0,1,6.902582804949227,5,"“She’s absolutely right”, said Gregor’s father to himself."
650,0.8461538461538461,4.762419679633809,4.327590421706387,4.89514733573057,0.5675569140241832,0,1,7.387398254044854,5,"His mother, who still had not had time to catch her breath, began to cough dully, her hand held out in front of her and a deranged expression in her eyes."
651,0.847457627118644,4.735851945080033,4.326554331480822,4.899696600196082,0.5731422687152596,0,1,7.484820311820297,5,Gregor’s sister rushed to his mother and put her hand on her forehead.
652,0.8487614080834419,4.734896404053554,4.305534390323582,4.910967211506968,0.6054328211833857,0,1,7.182401420973543,5,Her words seemed to give Gregor’s father some more definite ideas.
653,0.8500651890482399,4.794451487414128,4.2727306963059295,4.95353085975803,0.6808001634521004,0,1,6.1543151219675085,5,"He sat upright, played with his uniform cap between the plates left by the three gentlemen after their meal, and occasionally looked down at Gregor as he lay there immobile."
654,0.8513689700130378,4.881898692383071,4.232755867930645,4.994012880026091,0.761257012095446,0,1,4.918145932371861,5,"“We have to try and get rid of it”, said Gregor’s sister, now speaking only to her father, as her mother was too occupied with coughing to listen, “it’ll be the death of both of you, I can see it coming."
667,0.8683181225554106,4.914666982674016,4.321252795031003,5.057166034651785,0.7359132396207819,0,1,5.0686614350078445,6,"We wouldn’t have a brother any more, then, but we could carry on with our lives and remember him with respect."
668,0.8696219035202086,4.897401863353977,4.336091435109459,5.033534161490621,0.697442726381162,0,1,5.518180118791033,6,"As it is this animal is persecuting us, it’s driven out our tenants, it obviously wants to take over the whole flat and force us to sleep on the streets."
669,0.8709256844850065,4.890409512912656,4.338520496894357,5.006980058842698,0.6684595619483416,0,1,5.812445803417386,6,"Father, look, just look”, she suddenly screamed, “he’s starting again!”"
670,0.8722294654498044,4.886502451781568,4.321981693363791,5.030793233082645,0.7088115397188535,0,1,5.461840346055922,6,"In her alarm, which was totally beyond Gregor’s comprehension, his sister even abandoned his mother as she pushed herself vigorously out of her chair as if more willing to sacrifice her own mother than stay anywhere near Gregor."
